urn	hgvs_lines	peak_rss_gb
urn:mavedb:00000698-a-1	820	0.120
urn:mavedb:00000699-a-1	380	0.120
urn:mavedb:00000700-a-1	1240	0.120
urn:mavedb:00000701-a-1	1220	2.300
urn:mavedb:00000702-a-1	700	0.126
urn:mavedb:00000703-a-1	980	0.893
urn:mavedb:00000704-a-1	1380	1.800
urn:mavedb:00000705-a-1	1120	0.123
urn:mavedb:00000706-a-1	1180	0.936
urn:mavedb:00000707-a-1	1140	0.126
urn:mavedb:00000708-a-1	1520	5.500
urn:mavedb:00000709-a-1	1340	0.125
urn:mavedb:00000710-a-1	1180	6.000
urn:mavedb:00000711-a-1	1300	1.300
urn:mavedb:00000712-a-1	1380	1.800
urn:mavedb:00000713-a-1	1520	2.200
urn:mavedb:00000714-a-1	540	0.129
urn:mavedb:00000715-a-1	1640	0.135
urn:mavedb:00000716-a-1	920	1.100
urn:mavedb:00000717-a-1	980	0.135
urn:mavedb:00000718-a-1	1000	0.134
urn:mavedb:00000719-a-1	1060	0.125
urn:mavedb:00000720-a-1	1220	0.124
urn:mavedb:00000721-a-1	1220	0.175
urn:mavedb:00000722-a-1	1180	0.163
urn:mavedb:00000723-a-1	1060	0.125
urn:mavedb:00000725-a-1	1060	0.142
urn:mavedb:00000726-a-1	1060	0.146
urn:mavedb:00000727-a-1	1380	0.124
urn:mavedb:00000728-a-1	1060	0.125
urn:mavedb:00000729-a-1	1060	0.125
urn:mavedb:00000730-a-1	840	2.300
urn:mavedb:00000731-a-1	1480	7.000
urn:mavedb:00000733-a-1	1580	0.131
urn:mavedb:00000734-a-1	1260	0.207
urn:mavedb:00000735-a-1	1260	0.122
urn:mavedb:00000736-a-1	1120	0.122
urn:mavedb:00000737-a-1	1780	0.139
urn:mavedb:00000738-a-1	1660	0.125
urn:mavedb:00000739-a-1	1740	6.300
urn:mavedb:00000741-a-1	1560	0.124
urn:mavedb:00000742-a-1	1780	0.119
urn:mavedb:00000743-a-1	1740	0.121
urn:mavedb:00000744-a-1	1680	0.120
urn:mavedb:00000745-a-1	1600	0.709
urn:mavedb:00000746-a-1	1520	0.680
urn:mavedb:00000747-a-1	1620	0.793
urn:mavedb:00000748-a-1	1620	0.119
urn:mavedb:00000749-a-1	1420	0.229
urn:mavedb:00000750-a-1	1380	0.229
urn:mavedb:00000751-a-1	1440	0.221
urn:mavedb:00000756-a-1	1460	0.129
urn:mavedb:00000757-a-1	840	0.122
urn:mavedb:00000758-a-1	1360	6.100
urn:mavedb:00000759-a-1	1640	7.300
urn:mavedb:00000760-a-1	1120	5.100
urn:mavedb:00000761-a-1	1380	0.123
urn:mavedb:00000762-a-1	1780	0.125
urn:mavedb:00000763-a-1	880	0.820
urn:mavedb:00000764-a-1	1180	0.137
urn:mavedb:00000765-a-1	1180	0.137
urn:mavedb:00000766-a-1	1700	0.116
urn:mavedb:00000767-a-1	1820	0.165
urn:mavedb:00000768-a-1	1760	0.130
urn:mavedb:00000770-a-1	1800	0.146
urn:mavedb:00000771-a-1	1120	0.668
urn:mavedb:00000772-a-1	800	0.135
urn:mavedb:00000773-a-1	1260	0.126
urn:mavedb:00000774-a-1	1240	0.130
urn:mavedb:00000775-a-1	1240	0.122
urn:mavedb:00000776-a-1	1280	0.127
urn:mavedb:00000777-a-1	1020	0.124
urn:mavedb:00000778-a-1	500	2.800
urn:mavedb:00000779-a-1	1060	0.127
urn:mavedb:00000780-a-1	1240	5.600
urn:mavedb:00000781-a-1	1340	0.136
urn:mavedb:00000782-a-1	1260	0.120
urn:mavedb:00000783-a-1	1180	0.122
urn:mavedb:00000784-a-1	1220	0.119
urn:mavedb:00000785-a-1	1180	0.119
urn:mavedb:00000786-a-1	1100	0.120
urn:mavedb:00000787-a-1	1200	23.000
urn:mavedb:00000788-a-1	1560	0.153
urn:mavedb:00000789-a-1	1860	0.154
urn:mavedb:00000790-a-1	1600	14.900
urn:mavedb:00000791-a-1	1640	0.133
urn:mavedb:00000793-a-1	1540	0.140
urn:mavedb:00000794-a-1	1680	5.000
urn:mavedb:00000795-a-1	1040	0.125
urn:mavedb:00000796-a-1	1180	0.143
urn:mavedb:00000797-a-1	1160	0.142
urn:mavedb:00000798-a-1	1800	0.145
urn:mavedb:00000799-a-1	1620	0.131
urn:mavedb:00000800-a-1	1000	1.500
urn:mavedb:00000801-a-1	1540	0.158
urn:mavedb:00000802-a-1	1620	0.122
urn:mavedb:00000803-a-1	1720	0.915
urn:mavedb:00000804-a-1	1340	22.000
